"studentID","aist_r","aist_i","aist_a","aist_s","aist_e","aist_c"
"student1",3.4,4.4,3.2,1,2.2,2
"student10",2.6,4.2,3,4.2,2.8,2.4
"student100",3.4,4,1.4,2.6,2.4,1.6
"student101",3,3.6,1.8,1.4,2,2.4
"student102",2.4,3.6,3,2,3.8,3
"student103",2.6,4.6,4,3.6,2.4,3.4
"student104",4.8,4.2,2.6,3.4,3.4,2.8
"student105",3.2,4.4,2.8,3,4,3.8
"student106",3.4,4.4,1.6,3,2.4,2.2
"student107",4,4.6,1.6,2.6,4.4,3.4
"student108",3.6,4.8,2,1.6,2.2,2
"student109",4.2,4.4,2.8,2.6,3,2
"student11",2,4.8,1.2,5,4.6,3.2
"student110",3.4,4.8,1.6,4.8,3.8,1.2
"student111",4.2,4.8,3,3.2,4,2.8
"student112",3.2,4,1.8,1.6,2,2.75
"student113",4,5,1,1,1.4,1.2
"student114",4.4,5,3.4,1.8,1.6,1.8
"student115",3.2,4.6,1.2,3.2,3.8,2
"student116",1.8,4.8,4.4,4.8,3,2
"student117",3.2,4.8,2.6,2.6,3,3.2
"student12",1.4,2.4,2,4.6,4.4,2.4
"student13",1,2.8,3,4.2,3.2,2.2
"student14",2.6,2.4,3.8,4.4,3.2,4.2
"student15",1.4,3.4,3,5,5,3.4
"student16",1.6,1.6,4.2,3.4,2,2
"student17",3,2.8,3,4.2,3,3.8
"student18",4.6,4.4,2.4,1.4,3.8,2.2
"student19",3.6,3,3.6,4,2.8,1.8
"student2",1.6,1.8,3.2,4,3.6,1.8
"student20",1.6,3,2.2,3.4,4.6,2.6
"student21",3.8,4.2,4.6,2.8,2,2.8
"student22",1.6,1.4,4.6,3.6,1.8,2.4
"student23",2.8,4.2,1.8,4.4,3.4,1.8
"student24",1,4,1.8,3.8,4,1.4
"student25",1.8,4.8,3.6,2.2,2.4,2.6
"student26",2.6,4.4,4,3,2,2.4
"student27",1.8,2.4,2,3.8,4.6,2
"student28",4.4,3.4,3,4.2,3.8,1.6
"student29",3.4,4.6,2,2.4,4.2,2.2
"student3",4.4,5,2,2,3,2.2
"student30",2.8,3.8,4.8,4.4,2.2,2.6
"student31",1.6,1.8,3.2,4.2,2.4,2
