"studentID","Ikont","Ekont"
"student1",4.5,1
"student10",4.5,2
"student100",5,1.5
"student101",4.5,2
"student102",4.5,2
"student103",4.5,1
"student104",4,2
"student105",4,1.5
"student106",5,2
"student107",4.5,1.5
"student108",4,1.5
"student109",5,2
"student11",4.5,1
"student110",4,1
"student111",5,1
"student112",5,1
"student113",4,1
"student114",3.5,3.5
"student115",4,1.5
"student116",4.5,2
"student117",3.5,3
"student12",4.5,2
"student13",4,1.5
"student14",4.5,3
"student15",5,1
"student16",3.5,1.5
"student17",3.5,1
"student18",4.5,2.5
"student19",4,2
"student2",3.5,2
"student20",5,2
"student21",4.5,2
"student22",4.5,1
"student23",4,2.5
"student24",4.5,3.5
"student25",3,1
"student26",3.5,2
"student27",4,1.5
"student28",5,3
"student29",NA,NA
"student3",4.5,3.5
"student30",4,2.5
"student31",4,1.5
"student32",5,1.5
"student33",4.5,1.5
"student34",5,2.5
"student35",4,2.5
"student36",4,3
"student37",4,1.5
"student38",5,1
"student39",4.5,2.5
"student4",4.5,1.5
"student40",3.5,2
"student41",5,1
"student42",4,2
"student43",3.5,2.5
"student44",4,1.5
"student45",5,1
"student46",5,1.5
"student47",4,1.5
"student48",3.5,3.5
"student49",3.5,2
"student5",5,2
"student50",4.5,1.5
"student51",3.5,2.5
"student52",4.5,2
"student53",3.5,4
"student54",4,2.5
"student55",3.5,2
"student56",4.5,2
"student57",5,1.5
"student58",5,1
"student59",4.5,2.5
"student6",5,1
"student60",4,1.5
"student61",3,2.5
"student62",4.5,1.5
"student63",3.5,2
"student64",3.5,2
"student65",4,2
"student66",4.5,2
"student67",4,1.5
"student68",4.5,2
"student69",2.5,3.5
"student7",3.5,1.5
"student70",4,2.5
"student71",5,2
"student72",5,1.5
"student73",4,2
"student74",3.5,1
"student75",4.5,2
"student76",3.5,1.5
"student77",4.5,1.5
"student78",4,2
"student79",4.5,2
"student8",4,3.5
"student80",4,1.5
"student81",3.5,2.5
"student82",4,2.5
"student83",4.5,3
"student84",4.5,1
"student85",4,2
"student86",4,2
"student87",4.5,1.5
"student88",4.5,2
"student89",4,2.5
"student9",5,2
"student90",4,2
"student91",4.5,2
"student92",4.5,3
"student93",5,1
"student94",3.5,3.5
"student95",3.5,1.5
"student96",3.5,2.5
"student97",3.5,1.5
"student98",5,2
"student99",4,2
