"studentID","meas","Iv1_state","Av1_state","Uv1_state","Co1_state","Co2_state","Angst_abbruch_state","Angst_scheitern_state","Leist_verstehen_state","Leist_bearbeiten_state","Leist_stress_state","Leist_ueberfordert_state","Wiss_kommilitonen_state","Wiss_mathe_state","PANP01_state","PANP05_state","PANP08_state","PANN01_state","PANN05_state","PANN09_state","Block2_lerngruppe_state","Block2_abschreiben_state","Block2_durchhaltevermoegen_state","Block2_vorNachbereitung_state","Block2_zeitaufwand_state","Block2_anwesenheit_state","Block2_gruppe_state","Summe","event"
"student1",8,3,3,4,4,4,2,4,3,3,4,2,2,2,4,5,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0
"student1",10,3,3,2,2,3,1,2,4,3,2,3,3,2,4,4,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0
"student1",12,3,2,3,2,2,1,2,4,4,2,4,3,3,4,5,4,2,3,4,4,4,2,3,8,3,1,89,0
"student1",15,4,3,3,2,2,4,4,3,3,4,2,1,2,1,2,1,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0
"student1",17,3,2,3,3,4,1,2,3,3,3,3,2,2,3,2,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0
"student1",19,2,2,2,3,2,1,2,3,3,3,3,2,2,3,4,2,1,1,2,4,3,1,2,8,3,1,NA,0
"student1",22,2,2,4,2,3,1,2,2,4,3,3,3,3,3,4,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0
"student1",24,2,2,2,4,4,2,4,1,1,4,2,2,1,4,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,0
"student1",26,2,1,3,4,4,3,4,2,1,4,2,1,1,2,3,2,4,5,5,4,3,3,2,9,3,1,87,0
"student1",29,2,2,3,4,4,2,4,2,2,4,2,2,2,2,2,1,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,0
"student1",31,3,2,2,4,4,1,4,3,3,4,2,2,2,2,1,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0
"student1",33,3,2,3,4,4,1,2,3,2,3,3,2,2,2,3,1,1,1,2,4,3,1,3,10,3,1,80,0
"student1",36,2,2,3,4,4,1,2,3,3,2,3,2,2,3,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0
"student1",38,3,3,3,3,3,1,4,3,3,3,3,3,2,3,3,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0
"student1",40,3,2,3,3,3,1,4,3,2,3,3,3,2,4,4,2,3,2,2,4,4,2,2,8,3,1,39,0
"student1",43,3,3,3,3,3,1,3,3,3,3,3,3,2,2,2,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0
"student1",45,2,2,3,3,3,3,4,3,3,3,2,2,2,3,3,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0
"student1",47,2,2,3,3,3,2,4,2,2,3,2,2,2,3,3,2,2,3,3,4,4,2,3,8,3,1,69,0
"student1",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"student1",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"student1",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"student1",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"student10",8,3,4,3,3,2,1,2,4,4,1,4,3,3,4,5,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0
"student10",10,2,3,3,4,3,1,2,3,3,3,3,2,2,4,4,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0
"student10",12,2,4,2,4,4,3,4,1,1,4,1,1,1,5,4,4,5,4,4,1,2,1,4,7,3,1,45,0
"student10",15,4,4,3,2,3,3,4,3,2,4,2,2,2,4,4,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,0
"student10",17,3,4,2,3,3,2,4,3,3,4,2,2,2,4,4,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,0
"student10",19,3,4,2,3,3,2,4,3,3,4,2,2,2,4,4,4,3,2,2,1,4,1,3,7,2,1,NA,0
